index,file_path,TOID,true_era,file_name,label
5861,./data/original_data/mugshots_ground_truth/0001000010018985_IXT3SA4FXdbwBvfabPUQzw.jpg,1000010018985,b victorian,0001000010018985_IXT3SA4FXdbwBvfabPUQzw.jpg,1
243,./data/original_data/mugshots_ground_truth/0001000010146488_XQlErIwA5t1GlMnM9ipj-Q.jpg,1000010146488,e postwar,0001000010146488_XQlErIwA5t1GlMnM9ipj-Q.jpg,4
3837,./data/original_data/mugshots_ground_truth/0001000010024406_fpSanxptclErTOvvU76sTg.jpg,1000010024406,e postwar,0001000010024406_fpSanxptclErTOvvU76sTg.jpg,4
188,./data/original_data/mugshots_ground_truth/0001000010061510_revO7aQVfy_wIeAqmDW4dw.jpg,1000010061510,d interwar,0001000010061510_revO7aQVfy_wIeAqmDW4dw.jpg,3
537,./data/original_data/mugshots_ground_truth/0001000010141476_lHmNZkVf8yTLvF2EQphOdg.jpg,1000010141476,c edwardian late victorian,0001000010141476_lHmNZkVf8yTLvF2EQphOdg.jpg,2
185,./data/original_data/mugshots_ground_truth/0001000010145194_1XpIDKCNdApJAv_VWZAuUg.jpg,1000010145194,e postwar,0001000010145194_1XpIDKCNdApJAv_VWZAuUg.jpg,4
4182,./data/original_data/mugshots_ground_truth/0001000010016788_U_-2ALVVpIg8Rrh5fCOFXw.jpg,1000010016788,c edwardian late victorian,0001000010016788_U_-2ALVVpIg8Rrh5fCOFXw.jpg,2
1477,./data/original_data/mugshots_ground_truth/0001000010178158_BkSI_NKvZDsLWHBbNvRkNg.jpg,1000010178158,e postwar,0001000010178158_BkSI_NKvZDsLWHBbNvRkNg.jpg,4
1377,./data/original_data/mugshots_ground_truth/0001000010143201_kQOG1DKY1U5iv7hS8LvJTg.jpg,1000010143201,d interwar,0001000010143201_kQOG1DKY1U5iv7hS8LvJTg.jpg,3
94,./data/original_data/mugshots_ground_truth/0001000010019880_QTuyx9jchGf8rlTLNai08w.jpg,1000010019880,d interwar,0001000010019880_QTuyx9jchGf8rlTLNai08w.jpg,3
4556,./data/original_data/mugshots_ground_truth/0001000010024402_E-XRt7PLKkNbbPw0srmz9w.jpg,1000010024402,e postwar,0001000010024402_E-XRt7PLKkNbbPw0srmz9w.jpg,4
2673,./data/original_data/mugshots_ground_truth/0001000010103467_2ZO73XpH-nWwVgrjcehqIA.jpg,1000010103467,b victorian,0001000010103467_2ZO73XpH-nWwVgrjcehqIA.jpg,1
1152,./data/original_data/mugshots_ground_truth/0001000010099334_NiW-38fqRUSpugVPCsaBew.jpg,1000010099334,c edwardian late victorian,0001000010099334_NiW-38fqRUSpugVPCsaBew.jpg,2
5173,./data/original_data/mugshots_ground_truth/0001000009993807_o1xQoSCQHFiMDG5-GXDTZg.jpg,1000009993807,e postwar,0001000009993807_o1xQoSCQHFiMDG5-GXDTZg.jpg,4
5558,./data/original_data/mugshots_ground_truth/0001000010025720_IPaPkK7oX4Csv6xNoqNeoQ.jpg,1000010025720,c edwardian late victorian,0001000010025720_IPaPkK7oX4Csv6xNoqNeoQ.jpg,2
4456,./data/original_data/mugshots_ground_truth/0001000010142305_U-paO9VrUGZnUl19iRrJJw.jpg,1000010142305,d interwar,0001000010142305_U-paO9VrUGZnUl19iRrJJw.jpg,3
4283,./data/original_data/mugshots_ground_truth/0001000010024404_0i9RawrffOke91hvi126uw.jpg,1000010024404,e postwar,0001000010024404_0i9RawrffOke91hvi126uw.jpg,4
3643,./data/original_data/mugshots_ground_truth/0001000010055979_pNoLMjhZa8M8HWnvnK84Tw.jpg,1000010055979,b victorian,0001000010055979_pNoLMjhZa8M8HWnvnK84Tw.jpg,1
350,./data/original_data/mugshots_ground_truth/0001000010063148_5rUZBm79MiE3zd66vfV_cg.jpg,1000010063148,c edwardian late victorian,0001000010063148_5rUZBm79MiE3zd66vfV_cg.jpg,2
666,./data/original_data/mugshots_ground_truth/0001000010095086_7QE4i9NzLZ8JI3WrNj1T7A.jpg,1000010095086,c edwardian late victorian,0001000010095086_7QE4i9NzLZ8JI3WrNj1T7A.jpg,2
3982,./data/original_data/mugshots_ground_truth/0001000010096464_Qbx0PGdYlexENA5-mKmmGQ.jpg,1000010096464,c edwardian late victorian,0001000010096464_Qbx0PGdYlexENA5-mKmmGQ.jpg,2
897,./data/original_data/mugshots_ground_truth/0001000010110809_leQKgjsD29gLQoLbkU-Kig.jpg,1000010110809,d interwar,0001000010110809_leQKgjsD29gLQoLbkU-Kig.jpg,3
